"DateTime";"Players";"Twitch Viewers";"Flags"
"2016-06-02 00:00:00";;187;
"2016-06-16 00:00:00";;0;
"2016-06-30 00:00:00";;0;
"2016-07-14 00:00:00";;0;
"2016-07-28 00:00:00";;0;
"2016-08-11 00:00:00";;1081;
"2016-08-25 00:00:00";;0;
"2016-09-08 00:00:00";;0;
"2016-09-22 00:00:00";;0;
"2016-10-06 00:00:00";;0;
"2016-10-20 00:00:00";;0;
"2016-11-03 00:00:00";;0;
"2016-11-17 00:00:00";;0;
"2016-12-01 00:00:00";;0;
"2016-12-15 00:00:00";;0;
"2016-12-29 00:00:00";;0;
"2017-01-12 00:00:00";;15;
"2017-01-26 00:00:00";;0;
"2017-02-09 00:00:00";;1;
"2017-02-23 00:00:00";;49;
"2017-03-09 00:00:00";;0;
"2017-03-23 00:00:00";;20;
"2017-04-06 00:00:00";;3;
"2017-04-20 00:00:00";;42;
"2017-05-04 00:00:00";;7;
"2017-05-18 00:00:00";;0;
"2017-06-01 00:00:00";;65;
"2017-06-15 00:00:00";;89;
"2017-06-29 00:00:00";;0;
"2017-07-13 00:00:00";;46;
"2017-07-27 00:00:00";;1;
"2017-08-10 00:00:00";;20;
"2017-08-24 00:00:00";;4;
"2017-09-07 00:00:00";;2;
"2017-09-21 00:00:00";;3;
"2017-10-05 00:00:00";;68;
"2017-10-19 00:00:00";;24;
"2017-11-02 00:00:00";;9;
"2017-11-16 00:00:00";;4;
"2017-11-30 00:00:00";;53;
"2017-12-14 00:00:00";;1071;
"2017-12-28 00:00:00";;26;
"2018-01-11 00:00:00";;205444;
"2018-01-25 00:00:00";;261898;
"2018-02-08 00:00:00";;205315;
"2018-02-22 00:00:00";;31362;
"2018-03-08 00:00:00";;255998;
"2018-03-22 00:00:00";;152070;
"2018-04-05 00:00:00";;36652;
"2018-04-19 00:00:00";;15517;
"2018-05-03 00:00:00";;12041;
"2018-05-17 00:00:00";;51691;
"2018-05-31 00:00:00";;41503;
"2018-06-14 00:00:00";;7030;
"2018-06-28 00:00:00";;25351;
"2018-07-12 00:00:00";;38230;
"2018-07-26 00:00:00";;48586;
"2018-08-09 00:00:00";;28368;
"2018-08-23 00:00:00";;7103;
"2018-09-06 00:00:00";;3133;
"2018-09-20 00:00:00";;14051;
"2018-10-04 00:00:00";;22687;
"2018-10-18 00:00:00";;7093;
"2018-11-01 00:00:00";;11963;
"2018-11-15 00:00:00";;21558;
"2018-11-29 00:00:00";;33886;
"2018-12-13 00:00:00";;64523;
"2018-12-27 00:00:00";;70031;
"2019-01-10 00:00:00";;125641;
"2019-01-24 00:00:00";;124178;
"2019-02-07 00:00:00";;45144;
"2019-02-21 00:00:00";;51238;
"2019-03-07 00:00:00";;57195;
"2019-03-21 00:00:00";;12399;
"2019-04-04 00:00:00";;25073;
"2019-04-18 00:00:00";;79473;
"2019-05-02 00:00:00";;46051;
"2019-05-16 00:00:00";;23464;
"2019-05-30 00:00:00";;19728;
"2019-06-13 00:00:00";;12883;
"2019-06-27 00:00:00";;19268;
"2019-07-11 00:00:00";;50956;
"2019-07-25 00:00:00";;14455;
"2019-08-08 00:00:00";;16255;
"2019-08-22 00:00:00";;23025;
"2019-09-05 00:00:00";;18543;
"2019-09-19 00:00:00";;10222;
"2019-10-03 00:00:00";;13057;
"2019-10-17 00:00:00";;54648;
"2019-10-31 00:00:00";;45960;
"2019-11-14 00:00:00";;39759;
"2019-11-28 00:00:00";;35223;
"2019-12-12 00:00:00";;31618;
"2019-12-26 00:00:00";;13844;
"2020-01-09 00:00:00";;15169;
"2020-01-23 00:00:00";;9185;
"2020-02-06 00:00:00";;40606;
"2020-02-20 00:00:00";;24434;
"2020-03-05 00:00:00";;14417;
"2020-03-19 00:00:00";;32892;
"2020-04-02 00:00:00";;24159;
"2020-04-16 00:00:00";;78018;
"2020-04-30 00:00:00";;76126;
"2020-05-14 00:00:00";;65768;
"2020-05-28 00:00:00";50450;64264;
"2020-06-03 00:00:00";;;
"2020-06-11 00:00:00";66906;49326;
"2020-06-25 00:00:00";63341;53206;
"2020-07-09 00:00:00";44322;25217;
"2020-07-23 00:00:00";30488;46219;
"2020-08-06 00:00:00";24479;38152;
"2020-08-20 00:00:00";18279;11225;
"2020-09-03 00:00:00";15210;22847;
"2020-09-17 00:00:00";27228;35432;
"2020-10-01 00:00:00";13305;14790;
"2020-10-15 00:00:00";9909;28817;
"2020-10-29 00:00:00";15197;42936;
"2020-11-12 00:00:00";27130;30350;
"2020-11-26 00:00:00";23324;39859;
"2020-12-10 00:00:00";15979;26599;
"2020-12-24 00:00:00";53347;59656;
"2021-01-07 00:00:00";40298;63543;
"2021-01-21 00:00:00";31593;62243;
"2021-02-04 00:00:00";28017;46882;
"2021-02-18 00:00:00";24791;50543;
"2021-03-04 00:00:00";19327;27639;
"2021-03-18 00:00:00";22349;49064;
"2021-04-01 00:00:00";46733;122713;
"2021-04-15 00:00:00";43640;140817;
"2021-04-29 00:00:00";25916;27029;
"2021-05-13 00:00:00";19465;32143;
"2021-05-27 00:00:00";44124;18113;
"2021-06-10 00:00:00";63069;203842;
"2021-06-24 00:00:00";60536;68088;
"2021-07-08 00:00:00";39520;43329;
"2021-07-22 00:00:00";22256;19277;
"2021-08-05 00:00:00";18370;27911;
"2021-08-19 00:00:00";18965;33223;
"2021-09-02 00:00:00";14870;37270;
"2021-09-16 00:00:00";25999;18994;
"2021-09-30 00:00:00";17886;32323;
"2021-10-14 00:00:00";15212;35283;
"2021-10-28 00:00:00";16535;8682;
"2021-11-11 00:00:00";12706;23950;
"2021-11-25 00:00:00";27690;47260;
"2021-12-09 00:00:00";19208;26395;
"2021-12-23 00:00:00";36920;20401;
"2022-01-06 00:00:00";30832;19810;
"2022-01-20 00:00:00";28654;20193;
"2022-02-03 00:00:00";24001;40020;
"2022-02-17 00:00:00";20783;23622;
"2022-03-03 00:00:00";20385;31695;
"2022-03-17 00:00:00";20745;32392;
"2022-03-31 00:00:00";33295;76735;
"2022-04-14 00:00:00";35268;59960;
"2022-04-28 00:00:00";22838;53880;
"2022-05-12 00:00:00";26071;35132;
"2022-05-26 00:00:00";28347;21227;
"2022-06-09 00:00:00";22493;29050;
"2022-06-23 00:00:00";25310;19066;
"2022-07-07 00:00:00";23883;16269;
"2022-07-21 00:00:00";21300;17057;
"2022-08-04 00:00:00";30117;99639;
"2022-08-18 00:00:00";21989;48139;
"2022-09-01 00:00:00";16584;130292;
"2022-09-15 00:00:00";35683;63528;
"2022-09-29 00:00:00";19458;30451;
"2022-10-13 00:00:00";14874;27737;
"2022-10-27 00:00:00";12945;29926;
"2022-11-10 00:00:00";22188;29256;
"2022-11-24 00:00:00";27368;29060;
"2022-12-08 00:00:00";17245;26816;
"2022-12-22 00:00:00";24816;35459;
"2023-01-05 00:00:00";24949;26204;
"2023-01-19 00:00:00";19867;27954;
